family,horizon,coverage,activation,trigger_bps,target_bps,stop_bps,split,cost_bps,trade_count,trades_per_day,mean_net_bps,median_net_bps,win_rate,profit_factor,daily_sharpe,max_drawdown,mean_daily_return,standard_error,t_stat,p_value,p_value_two_sided,effective_sample_size,cost_break_even_bps
barrier_a5_k5_t40_s30,60,0.05,5,5,40,30,confirmation,30.0,144,1.5824175824175823,-22.14965274648089,9.999999999998764,0.5277777777777778,0.20248968486109994,-9.480135457396488,-0.2670971418218715,-0.0035049999950475244,0.0011058388132081833,-3.1695396771967697,0.9992365969458269,0.0015268061083461833,91,7.850347253519113
barrier_a5_k5_t40_s30,60,0.05,5,5,40,30,final,0.0,80,1.1267605633802817,5.015672996211542,4.45331455781143,0.5125,1.3429519997409578,3.2145261756745804,-0.013925400631934481,0.0005651462530942583,0.00037152066027802184,1.5211704583840364,0.0641085333866355,0.128217066773271,71,5.015672996211542
barrier_a5_k5_t40_s30,60,0.05,5,5,40,30,final,12.0,80,1.1267605633802817,-6.984327003788461,-7.54668544218857,0.4875,0.6619996364729511,-4.461160479936834,-0.061287213868963186,-0.0007869664229620798,0.00038563317960254315,-2.0407124298100463,0.979360290428591,0.041279419142818005,71,5.015672996211542
barrier_a5_k5_t40_s30,60,0.05,5,5,40,30,final,30.0,80,1.1267605633802817,-24.984327003788458,-25.54668544218857,0.475,0.1703159171814883,-10.19758451270305,-0.17972963561132516,-0.0028151354370465876,0.0008484643610884602,-3.3179183076530943,0.9995465449759073,0.0009069100481853506,71,5.015672996211542
barrier_a5_k5_t50_s20,60,0.05,5,5,50,20,development,0.0,443,2.2261306532663316,7.377168192272436,-19.99999999999988,0.38826185101580135,1.6029678061211565,6.0792516066810025,-0.015916144000000187,0.001642254024711904,0.00040021548129442607,4.103424533704504,2.035396390224339e-05,4.070792780448678e-05,199,7.377168192272436
barrier_a5_k5_t50_s20,60,0.05,5,5,50,20,development,12.0,443,2.2261306532663316,-4.62283180772756,-31.99999999999988,0.3860045146726862,0.7639177777113517,-4.034079041352211,-0.19733681762374378,-0.0010291027592076935,0.00046220120507133624,-2.2265254783333193,0.9870104978315262,0.025979004336947553,199,7.377168192272436
barrier_a5_k5_t50_s20,60,0.05,5,5,50,20,development,30.0,443,2.2261306532663316,-22.62283180772756,-49.99999999999988,0.3860045146726862,0.2614970515055115,-10.980569762101027,-0.6374193137517743,-0.0050361379350870915,0.0011859774522280507,-4.246402767291984,0.9999891385006953,2.1722998609425253e-05,199,7.377168192272436
barrier_a5_k5_t50_s20,60,0.05,5,5,50,20,confirmation,0.0,144,1.5824175824175823,7.5158611741785855,-19.99999999999988,0.3958333333333333,1.6220023040699492,5.020633604477787,-0.010519561745251482,0.001189323086902985,0.0005475090776397946,2.1722435946266425,0.01491864702162067,0.02983729404324134,91,7.5158611741785855
barrier_a5_k5_t50_s20,60,0.05,5,5,50,20,confirmation,12.0,144,1.5824175824175823,-4.484138825821414,-31.99999999999988,0.3958333333333333,0.7680617848713068,-3.564248944668461,-0.06069930172292515,-0.000709578011998114,0.0003155082444334771,-2.248999905762285,0.9877437489667062,0.024512502066587546,91,7.5158611741785855
barrier_a5_k5_t50_s20,60,0.05,5,5,50,20,confirmation,30.0,144,1.5824175824175823,-22.484138825821415,-49.99999999999988,0.3819444444444444,0.257911846128524,-10.746258729387273,-0.272489303880576,-0.003557929660349762,0.0009931570287195295,-3.582444223283579,0.999829802844336,0.0003403943113279623,91,7.5158611741785855
barrier_a5_k5_t50_s20,60,0.05,5,5,50,20,final,0.0,80,1.1267605633802817,8.082818253914954,-19.99999999999988,0.4125,1.6878994258650957,5.639889939779019,-0.010936453783279787,0.0009107400849481638,0.0004252865864890553,2.141473805855858,0.016117924318682558,0.032235848637365117,71,8.082818253914954
barrier_a5_k5_t50_s20,60,0.05,5,5,50,20,final,12.0,80,1.1267605633802817,-3.9171817460850447,-31.99999999999988,0.4,0.7927035582895926,-2.9277872594291723,-0.04129183705399564,-0.00044137259110817417,0.0003827800068061156,-1.1530711721099285,0.8755594135235013,0.2488811729529974,71,8.082818253914954
barrier_a5_k5_t50_s20,60,0.05,5,5,50,20,final,30.0,80,1.1267605633802817,-21.917181746085042,-49.99999999999988,0.3875,0.2674962798032769,-9.879903083748315,-0.16250319787274925,-0.0024695416051926807,0.00080631824584739,-3.0627380912078297,0.9989033903758234,0.002193219248353183,71,8.082818253914954
barrier_a5_k5_t50_s30,60,0.05,5,5,50,30,development,0.0,443,2.2261306532663316,6.485605047339622,-29.99999999999864,0.45372460496614,1.3972991867769486,4.341512677818335,-0.024781782028000188,0.001443780420086157,0.0004917558012501322,2.93597028528348,0.0016625308591202283,0.0033250617182404565,199,6.485605047339622
barrier_a5_k5_t50_s30,60,0.05,5,5,50,30,development,12.0,443,2.2261306532663316,-5.514394952660381,-41.999999999998636,0.45146726862302483,0.7590427517610366,-4.072056058998832,-0.22763711887748483,-0.001227576363833441,0.0004301102867946114,-2.8540967317520587,0.9978420306167793,0.004315938766441423,199,6.485605047339622
barrier_a5_k5_t50_s30,60,0.05,5,5,50,30,development,30.0,443,2.2261306532663316,-23.51439495266038,-59.999999999998636,0.4492099322799097,0.28285805033388134,-11.242478545649641,-0.6516075549754479,-0.005234611539712839,0.0011002739757625603,-4.75755280505014,0.9999990202299646,1.9595400709086422e-06,199,6.485605047339622
barrier_a5_k5_t50_s30,60,0.05,5,5,50,30,confirmation,0.0,144,1.5824175824175823,9.256250051819144,-9.086837189780084,0.4930555555555556,1.620480561399172,4.864255666350977,-0.013000000000000234,0.0014647252829252274,0.0006348181525723111,2.3073147435845933,0.010518640094273819,0.021037280188547638,91,9.256250051819144
barrier_a5_k5_t50_s30,60,0.05,5,5,50,30,confirmation,12.0,144,1.5824175824175823,-2.743749948180857,-21.086837189780084,0.4861111111111111,0.8694912860982779,-1.6169071416210963,-0.05805332555113685,-0.00043417581597587175,0.0004698704785108225,-0.9240329746868134,0.8222654260873817,0.35546914782523653,91,9.256250051819144
barrier_a5_k5_t50_s30,60,0.05,5,5,50,30,confirmation,30.0,144,1.5824175824175823,-20.74374994818086,-39.086837189780084,0.4722222222222222,0.31682270932956186,-8.805775920367198,-0.25282611789017984,-0.00328252746432752,0.0010651765460547964,-3.0816745604147533,0.9989708012685131,0.0020583974629738546,91,9.256250051819144
