family,horizon,coverage,split,cost_bps,trade_count,trades_per_day,mean_net_bps,median_net_bps,win_rate,profit_factor,daily_sharpe,max_drawdown,mean_daily_return,standard_error,t_stat,p_value,p_value_two_sided,effective_sample_size,cost_break_even_bps
continuation_a5_k5,30,0.05,confirmation,30.0,234,2.5714285714285716,-16.690051847643836,-19.686135860591342,0.358974358974359,0.48992188835840456,-10.393659183489188,-0.3280388784235898,-0.0042917276179655585,0.0011903157878004101,-3.605537002828687,0.999844245950877,0.00031150809824618403,91,13.309948152356165
continuation_a5_k5,30,0.05,final,0.0,120,1.7142857142857142,11.777767528208766,9.5919492142381,0.5666666666666667,1.6866066109976507,5.603919425415718,-0.021307467902575428,0.0020190458619786453,0.0009213758190535376,2.191338018890776,0.014213670376893122,0.028427340753786244,70,11.777767528208766
continuation_a5_k5,30,0.05,final,12.0,120,1.7142857142857142,-0.2222324717912329,-2.4080507857618993,0.48333333333333334,0.990314152230614,-0.12158740785864607,-0.0470896985604371,-3.809699516421147e-05,0.0006496970076062467,-0.0586380954786549,0.523379816465783,0.953240367068434,70,11.777767528208766
continuation_a5_k5,30,0.05,final,30.0,120,1.7142857142857142,-18.222232471791234,-20.408050785761898,0.35833333333333334,0.4523855072802257,-8.248823913634865,-0.1910960746971302,-0.003123811280878498,0.0010093113630837748,-3.0949926802906864,0.9990159112288668,0.0019681775422664203,70,11.777767528208766
continuation_a15_k5,30,0.05,development,0.0,786,3.949748743718593,7.849210856776153,8.627362720546486,0.5419847328244275,1.2876669466375743,3.4723512632473548,-0.11957201702772813,0.003100241072073395,0.0015620733981855945,1.984696158115514,0.02358914326045087,0.04717828652090174,199,7.849210856776153
continuation_a15_k5,30,0.05,development,12.0,786,3.949748743718593,-4.150789143223846,-3.372637279453513,0.47837150127226463,0.8748904177037294,-1.864731311625309,-0.35802577015147197,-0.001639457420388916,0.0011884616243495866,-1.3794786359098026,0.9161263855992836,0.16774722880143267,199,7.849210856776153
continuation_a15_k5,30,0.05,development,30.0,786,3.949748743718593,-22.150789143223843,-21.372637279453514,0.3791348600508906,0.4907812064775018,-7.6247116286611485,-0.8383431766871072,-0.008749005159082383,0.0019423040426963859,-4.504446763616193,0.9999966726961526,6.654607694875011e-06,199,7.849210856776153
continuation_a15_k5,30,0.05,confirmation,0.0,234,2.5714285714285716,13.309948152356165,10.313864139408658,0.5641025641025641,1.8084007607887795,5.826981541122607,-0.033487183001967735,0.0034225580963201563,0.0018253600982983788,1.8750043344930698,0.030396063612837067,0.060792127225674134,91,13.309948152356165
continuation_a15_k5,30,0.05,confirmation,12.0,234,2.5714285714285716,1.3099481523561625,-1.6861358605913424,0.47435897435897434,1.0592909317702788,0.9419054119401432,-0.07658363415146419,0.00033684381060587043,0.0008882362803945071,0.3792277100596053,0.35225938801873224,0.7045187760374645,91,13.309948152356165
continuation_a15_k5,30,0.05,confirmation,30.0,234,2.5714285714285716,-16.690051847643836,-19.686135860591342,0.358974358974359,0.48992188835840456,-10.393659183489188,-0.3280388784235898,-0.0042917276179655585,0.0011903157878004101,-3.605537002828687,0.999844245950877,0.00031150809824618403,91,13.309948152356165
continuation_a15_k5,30,0.05,final,0.0,120,1.7142857142857142,11.777767528208766,9.5919492142381,0.5666666666666667,1.6866066109976507,5.603919425415718,-0.021307467902575428,0.0020190458619786453,0.0009213758190535376,2.191338018890776,0.014213670376893122,0.028427340753786244,70,11.777767528208766
continuation_a15_k5,30,0.05,final,12.0,120,1.7142857142857142,-0.2222324717912329,-2.4080507857618993,0.48333333333333334,0.990314152230614,-0.12158740785864607,-0.0470896985604371,-3.809699516421147e-05,0.0006496970076062467,-0.0586380954786549,0.523379816465783,0.953240367068434,70,11.777767528208766
continuation_a15_k5,30,0.05,final,30.0,120,1.7142857142857142,-18.222232471791234,-20.408050785761898,0.35833333333333334,0.4523855072802257,-8.248823913634865,-0.1910960746971302,-0.003123811280878498,0.0010093113630837748,-3.0949926802906864,0.9990159112288668,0.0019681775422664203,70,11.777767528208766
